length,average_word_length,percentage_of_1,percentage_of_0,percentage_of_01,percentage_of_10,frequency_of_1,frequency_of_0,special,code
3,3.33,1.6666666666666665,1.6666666666666665,0.3333333333333333,1.0,1.5015015015015014,1.5015015015015014,1.2299999877e-06,True
5,4.0,2.0,1.9999999999999998,0.8,1.0,2.5,2.5,0.00086082899139171,True
3,3.0,1.0,1.9999999999999998,0.0,0.6666666666666666,1.0,1.9999999999999998,8.149999918500001e-07,True
4,2.75,1.5,1.25,0.25,0.5,2.1818181818181817,1.8181818181818183,3.9499999605000005e-07,True
3,4.0,2.333333333333333,1.6666666666666665,0.6666666666666666,1.0,1.75,1.25,3.5383332979500004e-06,True
6,4.67,2.3333333333333335,2.333333333333333,1.1666666666666665,0.9999999999999999,2.9978586723768736,2.997858672376874,0.14433879688994536,True
5,5.0,1.5999999999999999,3.4000000000000004,0.6000000000000001,1.0,1.5999999999999999,3.4000000000000004,0.03300774166992258,True
4,3.75,2.25,1.5,1.0,0.5,2.4,1.6,6.107499938925001e-06,True
3,4.67,1.3333333333333333,3.3333333333333335,0.6666666666666666,0.3333333333333333,0.8565310492505354,2.1413276231263385,2.0104999798950003e-05,True
3,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.5,1.5,4.1666666250000005e-08,True
3,5.67,1.9999999999999998,3.6666666666666665,1.3333333333333333,1.0,1.0582010582010581,1.9400352733686066,0.00020339166463275002,True
7,4.43,1.8571428571428572,2.571428571428571,0.857142857142857,0.857142857142857,2.934537246049662,4.063205417607223,1.5276597111519743,True
3,3.0,1.0,1.9999999999999998,0.6666666666666666,0.3333333333333333,1.0,1.9999999999999998,7.783333255500001e-07,True
5,5.8,3.2,2.6000000000000005,1.6,1.0,2.7586206896551726,2.2413793103448274,0.039186474608135256,True
6,4.5,2.666666666666667,1.8333333333333333,0.8333333333333333,1.0,3.5555555555555554,2.4444444444444446,0.08494608081720585,True
3,4.67,2.3333333333333335,2.333333333333333,1.3333333333333333,1.3333333333333333,1.4989293361884368,1.4989293361884368,1.0528333228050002e-05,True
4,4.0,2.5,1.5,0.75,0.75,2.5,1.5,1.2299999877000002e-05,True
5,4.2,2.2,2.0,1.2000000000000002,1.4,2.619047619047619,2.380952380952381,0.0012191729878082702,True
3,4.67,2.333333333333333,2.333333333333333,0.6666666666666666,0.6666666666666666,1.4989293361884368,1.498929336188437,1.3918333194150001e-05,True
4,4.5,1.5,3.0,0.75,0.75,1.3333333333333333,2.6666666666666665,0.0001784787482152125,True
6,6.0,2.333333333333333,3.666666666666666,1.8333333333333333,1.6666666666666665,2.333333333333333,3.666666666666666,42.66450457085495,True
3,3.67,1.3333333333333333,2.3333333333333335,0.6666666666666666,0.6666666666666666,1.0899182561307903,1.907356948228883,1.2383333209500002e-06,True
3,6.0,2.6666666666666665,3.333333333333333,1.3333333333333333,1.0,1.3333333333333333,1.6666666666666665,4.347833289855001e-05,True
