language,length,average_word_length,frequency_of_1,frequency_of_0,frequency_of_01,frequency_of_10,frequency_of_11,frequency_of_00,nc,levenshtein,special,classe
"['0000001', '0101', '0']",3,4.0,2.25,0.75,0.75,0.25,0.75,0.0,9.0,4.333333333333333,5.823142348960789e-08,True
"['1', '01100']",2,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.0,4.0,9.150652262652669e-08,True
"['111110', '0']",2,3.5,0.5714285714285714,1.4285714285714286,0.0,0.2857142857142857,0.0,0.5714285714285714,4.0,5.0,2.578820183111207e-07,True
"['0010110', '1', '000', '111101']",4,4.25,1.8823529411764706,2.1176470588235294,0.7058823529411764,0.7058823529411764,0.47058823529411764,0.7058823529411764,16.0,4.5,2.4021502036311285e-05,True
"['1000', '1110100']",2,5.5,1.0909090909090908,0.9090909090909092,0.18181818181818182,0.5454545454545454,0.36363636363636365,0.18181818181818182,4.0,3.0,2.370850813505464e-06,True
"['0111001', '1000', '01111']",3,5.33,1.3133208255159474,1.6885553470919323,0.5628517823639775,0.37523452157598497,0.37523452157598497,0.5628517823639775,9.0,3.3333333333333335,4.0838251878247634e-05,True
"['100', '01111']",2,4.0,0.75,1.25,0.25,0.25,0.25,0.5,4.0,4.0,2.9739619853621175e-07,True
"['100111', '11', '0001110', '00100', '0110101', '0110010', '000']",7,5.29,3.780718336483932,3.213610586011342,1.5122873345935728,1.3232514177693762,1.1342155009451795,0.945179584120983,49.0,3.5714285714285716,50.75746438848383,True
"['111111', '1000111', '110']",3,5.33,0.7504690431519699,2.25140712945591,0.18761726078799248,0.37523452157598497,0.18761726078799248,0.9380863039399624,9.0,4.0,9.02392959343957e-05,True
"['0111', '1100001', '101', '0111111', '0010000', '0111001', '10']",7,5.29,3.213610586011342,3.780718336483932,1.3232514177693762,0.945179584120983,1.1342155009451795,1.1342155009451795,49.0,3.9047619047619047,39.62421514409895,True
"['100001', '010', '0100', '1111', '000', '10111']",6,4.17,3.1175059952038366,2.8776978417266186,0.9592326139088729,0.9592326139088729,0.9592326139088729,0.7194244604316546,36.0,2.7333333333333334,0.012098841990502011,True
"['1101000', '0']",2,4.0,1.25,0.75,0.25,0.5,0.25,0.25,4.0,6.0,4.3257628877994435e-07,True
"['101', '1', '0001101', '011010', '1001100']",5,4.8,2.5,2.5,1.25,1.25,0.625,0.625,25.0,3.8,0.00968657768184197,True
