language,length,average_word_length,frequency_of_1,frequency_of_0,frequency_of_01,frequency_of_10,frequency_of_11,frequency_of_00,entropy,special,classe
"['1001', '000010', '110']",3,4.33,1.8475750577367205,1.1547344110854503,0.4618937644341801,0.6928406466512702,0.6928406466512702,0.23094688221709006,0.8561060852342811,1,6.419321208497251e-06,True
"['0110110', '00001', '0101', '1000', '11100', '010110']",6,5.17,3.288201160541586,2.7079303675048356,1.3539651837524178,1.3539651837524178,0.7736943907156674,0.7736943907156674,0.9148974916392358,0,0.6285361135898749,True
"['101', '0111011', '10']",3,4.0,1.0,2.0,0.75,0.75,0.0,0.5,0.9271388008737068,0,3.8793219743791164e-06,True
"['1110010', '010100', '10', '00010']",4,5.0,2.4,1.6,0.8,1.2,0.6000000000000001,0.2,0.9063630162440259,0,0.0009738311310347616,True
"['101', '0111', '01']",3,3.0,1.0,1.9999999999999998,1.0,0.3333333333333333,0.0,0.3333333333333333,0.9098579861712075,0,4.838753999493608e-07,True
"['0000111', '1101', '011011', '1010111', '00100', '0001', '101']",7,5.14,3.3073929961089497,3.696498054474709,1.7509727626459144,1.1673151750972763,0.9727626459143969,0.9727626459143969,0.8613463880736413,1,2.500871274601603,True
"['0010', '101010', '1000000', '100000', '11001']",5,5.6,3.392857142857143,1.6071428571428572,0.7142857142857143,1.25,1.25,0.17857142857142858,0.8047847838288966,1,0.037182095733957594,True
"['110', '101', '11']",3,2.67,0.7490636704119851,2.247191011235955,0.37453183520599254,0.7490636704119851,0.0,0.7490636704119851,0.612197222702993,0,2.980894297682309e-07,True
"['00', '1']",2,1.5,1.3333333333333333,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,1,2.079693696057425e-09,True
"['100', '1']",2,2.0,1.0,1.0,0.0,0.5,0.5,0.0,0.4591479170272448,0,1.8717243264516825e-08,True
"['0011100', '0100', '00001', '1']",4,4.25,2.5882352941176467,1.411764705882353,0.7058823529411764,0.47058823529411764,1.176470588235294,0.23529411764705882,0.6296085888451868,0,3.0083809160318678e-05,True
"['1100010', '1101']",2,5.5,0.9090909090909092,1.0909090909090908,0.36363636363636365,0.5454545454545454,0.18181818181818182,0.36363636363636365,0.8982531302466923,0,3.2879957334667886e-06,True
"['110000', '100', '0011', '000100', '001', '01']",6,4.0,4.0,2.0,1.0,0.75,1.75,0.5,0.9008183206353039,0,0.008818082204635038,True
"['0100', '00', '1110110', '101010', '110', '11110']",6,4.5,2.666666666666667,3.3333333333333335,0.8888888888888888,1.7777777777777777,0.4444444444444444,1.1111111111111112,0.719103770327936,1,0.024608820014240078,True
"['1011001', '00001', '0011', '110', '1110000', '10001']",6,5.17,3.288201160541586,2.7079303675048356,0.9671179883945842,0.9671179883945842,1.353965183752418,0.7736943907156674,0.9302717992441707,0,1.0355647538559116,True
"['0100001', '001', '1000010', '111001']",4,5.75,2.4347826086956523,1.5652173913043477,0.8695652173913043,0.6956521739130435,1.0434782608695652,0.17391304347826086,0.8907082013105603,1,0.0022618343098049823,True
"['100', '0001100']",2,5.0,1.4,0.6000000000000001,0.2,0.4,0.6000000000000001,0.2,0.8907082013105603,1,1.0897594967340906e-06,True
"['111', '0110']",2,3.5,0.5714285714285714,1.4285714285714284,0.2857142857142857,0.2857142857142857,0.0,0.5714285714285714,0.5,1,2.4540385613477615e-07,True
"['11', '0100', '011001', '0010110']",4,4.75,2.1052631578947367,1.894736842105263,1.0526315789473684,0.8421052631578947,0.631578947368421,0.631578947368421,0.6991265651233461,1,0.00044630850625501157,True
"['0010010', '1']",2,4.0,1.25,0.75,0.5,0.5,0.5,0.0,0.4315602842833155,1,7.694866675412472e-08,True
"['111', '1101010']",2,5.0,0.6,1.4,0.4,0.6,0.0,0.4,0.4926140680171258,1,2.0838530834495397e-06,True
"['0110', '11000']",2,4.5,1.1111111111111112,0.8888888888888888,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.9854752972273343,0,4.4921383834840375e-07,True
"['001', '100010', '1']",3,3.33,1.8018018018018018,1.2012012012012012,0.6006006006006006,0.6006006006006006,0.6006006006006006,0.0,0.612197222702993,0,2.731331054155418e-07,True
"['100', '011100', '0100', '10011', '10100', '101']",6,4.33,3.2332563510392607,2.771362586605081,1.1547344110854503,1.6166281755196306,1.1547344110854503,0.4618937644341801,0.9316284969129084,0,0.0258313520091491,True
"['0100', '11', '11010', '0011111', '0011101', '0111011', '001101', '10111']",8,5.38,2.9739776951672865,5.018587360594796,1.8587360594795541,1.3011152416356877,0.7434944237918216,1.6728624535315986,0.7769532608710846,1,1416.3011344183192,True
"['0', '1011010']",2,4.0,1.0,1.0,0.5,0.75,0.0,0.25,0.4926140680171258,0,1.8717243264516822e-07,True
"['01111', '100010', '101111', '010110']",4,5.75,1.5652173913043477,2.4347826086956523,0.8695652173913043,0.8695652173913043,0.17391304347826086,0.8695652173913043,0.8225615876475515,0,0.004236808149337979,True
"['101', '1101']",2,3.5,0.5714285714285714,1.4285714285714284,0.5714285714285714,0.5714285714285714,0.0,0.2857142857142857,0.8647869792568113,1,1.934115137333405e-07,True
"['1111111', '0111011', '0', '11010', '10']",5,4.4,1.3636363636363635,3.636363636363636,0.6818181818181818,0.9090909090909091,0.0,1.3636363636363635,0.5668142326042599,0,0.003474540930493226,True
